,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin
110,"RT @Freezze: ""Excusez moi mais ... Mais .. Pourrait on évoquer le ... S'il vous plait ? Est ce que ... Oh et puis démerdez vous tiens""  #20… ",Nan,2,2,0,0,1,0
111,"RT @EmmanuelMacron: Madame Le Pen , la France mérite mieux que vous. #2017LeDébat ",1,1,2,1,1,1,1
112,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
113,RT @Freezze: RT si t'as rien compris. #2017LeDebat ,0,2,2,2,0,1,0
114,"RT @s_assbague: Impressionnante la manière dont Le Pen enchaîne mensonges sur mensonges ,  amalgames sur amalgames  ; approximations. #2017Le… ",0,2,2,2,0,0,1
115,"RT @Marwan_FX: ""Je vous ai avec courtoisie laissé faire"". Cette simple phrase résume 30 ans de normalisation et de victoire idéologique du… ",1,2,2,2,0,1,0
116,"RT @Marwan_FX: Il faut profondément mépriser son peuple pour n'avoir rien d'autre à lui proposer que peur , division et rejet de l'autre. #2… ",0,0,2,0,0,0,0
117,RT @EmmanuelMacron: La France est une civilisation ouverte. Tout le contraire de ce que vous portez. #2017LeDébat ,Nan,2,2,2,0,0,0
118,RT @hugogelin: Le Pen parle de Macron. Macron parle de la France. #2017LeDebat ,Nan,0,2,0,0,0,0
119,RT @EmmanuelMacron: Ça fait à peu près 3 minutes que Mme Le Pen nous explique sa stratégie pour lutter contre le chômage en France. Elle n'… ,0,2,2,2,0,1,0
120,"RT @gaetan: C’est important s’il vous plait 

#2017LeDebat  ",1,2,2,2,0,0,1
121,RT @AudeBaron: Le Pen qui accuse Macron d'avoir des soutiens louches. Et pendant ce temps... #2017leDebat ,0,2,2,2,0,0,1
122,RT @Marwan_FX: Attendez calmez vous. J'ai PAS (exactement) dit que je soutenais MLP. J'ai JUSTE dit que j'étais dispo pour un taf début mai… ,Nan,2,2,2,0,0,0
123,RT @ericcoquerel: Pour répliquer à @MLP_officiel sur le terrorisme @EmmanuelMacron aurait mieux fait de regarder @Simonnet2 #2017LeDebat ht… ,0,2,2,2,1,0,0
124,RT @lDontGiveUp: Quand y a légumes et poisson à la cantine le midi #2017LeDebat ,Nan,2,2,2,1,0,1
125,"RT @Marine2017_EN: 🔴KEY PHRASE ""Mr #Macron , in any case , #France will be governed by a #Woman: either ME or Mrs. #MERKEL !"" #2017LeDebat @M… ",Nan,2,2,2,0,0,0
126,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
127,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
128,"RT @EmmanuelMacron: Jamais , contrairement à vous , je n'ai profité de la détresse des gens. #2017LeDébat ",0,2,2,2,0,0,1
129,"RT @MardiMondain: Qui soutenez-vous pour le 2nd tour? 🇫🇷
Lançons le GRAND sondage citoyen!
1•Votez 
2•Retweetez 
#2017LeDebat   
#ElectionP… ",0,2,2,2,0,0,0
130,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
131,"RT @NasNacera: Pendant ce temps la à Nice , des électeurs FN croisent les doigts pour.... qu'il y'ait un attentat pour que MLP gagne. #2017L… ",Nan,2,2,2,1,1,0
132,RT @EmmanuelMacron: J'ai passé du temps avec les salariés de Whirlpool. Je ne me suis pas contenté de faire des selfies. #2017LeDébat ,0,2,2,2,0,0,0
133,"RT @EmmanuelMacron: Madame Le Pen , vous êtes en train de lire une fiche qui ne correspond pas au dossier que vous avez cité. #2017LeDébat h… ",Nan,2,2,2,0,0,1
134,RT @Alextrxm: moi devant le débat #2017LeDebat ,Nan,2,2,2,0,0,1
135,RT @Jliabht: On peut faire comme dans Chéri c'est moi le Chef et muter MLP svp ? #2017LeDebat ,Nan,2,2,2,0,0,0
136,RT @EmmanuelMacron: Le pays vous importe peu. Vous n'avez pas de projet pour lui sinon celui qui consiste à vivre de la peur et des mensong… ,0,0,2,0,0,1,0
137,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
138,@chrisjaku @MuseeLouvre Oh comme pendant le #2017LeDebat @chrisjaku est d'une efficacité redoutable... 😂 Il dit à 1… ,1,2,2,2,0,0,0
139,RT @EmmanuelMacron: Je n'étais pas ministre quand SFR a été vendu. #2017LeDébat ,Nan,2,2,2,1,1,0
140,RT @EmmanuelMacron: Ça fait à peu près 3 minutes que Mme Le Pen nous explique sa stratégie pour lutter contre le chômage en France. Elle n'… ,0,2,2,2,0,1,0
141,RT @lerirejaune: #2017LeDebat ,Nan,2,2,2,0,0,1
142,"RT @EmmanuelMacron: Face à votre esprit de défaite , je porte un esprit de conquête. Nous sommes forts dans le monde , et je veux le changer.… ",1,2,2,2,1,1,1
143,"RT @dupontaignan: M.Macron , petit télégraphiste de Mme Merkel , veut appliquer la feuille  de route de Bruxelles avec l'argent des Français.… ",0,2,2,2,0,0,0
144,RT @EmmanuelMacron: Vous avez démontré que vous n'êtes pas la candidate d'un débat démocratique ouvert. #2017LeDébat ,Nan,2,2,2,0,1,0
145,RT @lDontGiveUp: Quand y a légumes et poisson à la cantine le midi #2017LeDebat ,Nan,2,2,2,1,0,1
146,RT @hugogelin: Le Pen parle de Macron. Macron parle de la France. #2017LeDebat ,Nan,0,2,0,0,0,0
147,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat ,Nan,2,2,2,0,1,0
148,RT @hugogelin: Le Pen parle de Macron. Macron parle de la France. #2017LeDebat ,Nan,0,2,0,0,0,0
149,RT @julienbellver: Pas une seule note sur la table pour Macron. Une bibliothèque sur celle de MLP #2017LeDébat ,0,2,2,1,1,0,1
150,"RT @BaruchPascal: Le Pen présidente ? 
""Une chaise , une table , un banc sera élu plutôt qu'elle dans ce pays."" #RendezNousMelenchon #LeGrand… ",0,2,2,2,0,1,0
151,RT @Alextrxm: les journalistes quand ils essayent d'intervenir mais qu'ils se font couper la parole  #2017LeDebat ,Nan,2,2,2,0,1,0
152,RT @pandisama_: CEST DE LA POUDRE DE PERLIMPIMPIMMMMMMM SALOOOOOPEEEEEEEE #2017LeDebat ,Nan,2,2,2,0,0,0
153,RT @FRANCE24: 🔴 مباشر - #الانتخابات_الفرنسية 🇫🇷 تابعوا المناظرة بين إيمانويل ماكرون ومارين لوبان مباشرة على فرانس 24 #2017LeDebat ,Nan,2,2,2,0,0,1
154,"RT @Marine2017_EN: Mr Macron ! Judicial laxity causes an explosion of insecurity , in our cities as well as in the countryside #2017LeDebat… ",Nan,2,2,2,0,1,0
155,RT @Freezze: RT si t'as rien compris. #2017LeDebat ,0,2,2,2,0,1,0
156,"RT @NormanDesVideos: J'ai l'impression que vous vous énervez , non c'est vous qui vous énervez , non c'est vous qui vous énervez , non c'est v… ",1,2,0,0,0,0,0
157,RT @Alextrxm: les journalistes quand ils essayent d'intervenir mais qu'ils se font couper la parole  #2017LeDebat ,Nan,2,2,2,0,1,0
158,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat ,Nan,2,2,2,0,1,0
159,Juste ça fait 10 min que je regarde #BFMTV et il parle de la pluie qui a fait retardé la sortie de #Macron. Juste on s'en fou #2017LeDebat ,0,1,2,0,0,0,0
160,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat ,Nan,2,2,2,0,1,0
